"Neoplasm Regression, Spontaneous", "Neoplasm Regression, Spontaneous"
"Hereditary Breast and Ovarian Cancer Syndrome", "Hereditary Breast and Ovarian Cancer Syndrome"
"Photosensitivity Disorders", "Photosensitivity Disorders"
"Chromosome Deletion", "Chromosome Deletion"
"Persistent Fetal Circulation Syndrome", "Persistent Fetal Circulation Syndrome"
"Neoplasms, Adnexal and Skin Appendage", "Neoplasms, Adnexal and Skin Appendage"
"Heredodegenerative Disorders, Nervous System", "Heredodegenerative Disorders, Nervous System"
"Brain Infarction", "Brain Infarction"
"Renal Artery Obstruction", "Renal Artery Obstruction"
"Sinus Thrombosis, Intracranial", "Sinus Thrombosis, Intracranial"
"Heroin Dependence", "Heroin Dependence"
"Carotid Artery, Internal, Dissection", "Carotid Artery, Internal, Dissection"
"Brucellosis", "Brucellosis"
"Newcastle Disease", "Newcastle Disease"
"Enterocolitis, Pseudomembranous", "Enterocolitis, Pseudomembranous"
"Multiple Chemical Sensitivity", "Multiple Chemical Sensitivity"
"Hearing Loss", "Hearing Loss"
"Vascular Fistula", "Vascular Fistula"
"Lung, Hyperlucent", "Lung, Hyperlucent"
"Hepatitis", "Hepatitis"
"Jaundice, Obstructive", "Jaundice, Obstructive"
"Prostatic Intraepithelial Neoplasia", "Prostatic Intraepithelial Neoplasia"
"Tuberculosis, Spinal", "Tuberculosis, Spinal"
"Erythema Chronicum Migrans", "Erythema Chronicum Migrans"
"46, XX Disorders of Sex Development", "46, XX Disorders of Sex Development"
"Cerebrovascular Disorders", "Cerebrovascular Disorders"
"Paronychia", "Paronychia"
"Leukemia, Myelomonocytic, Juvenile", "Leukemia, Myelomonocytic, Juvenile"
"Sleep Wake Disorders", "Sleep Wake Disorders"
"Spondylitis", "Spondylitis"
"Leukemia, Megakaryoblastic, Acute", "Leukemia, Megakaryoblastic, Acute"
"Erythema Multiforme", "Erythema Multiforme"
"Nocturnal Enuresis", "Nocturnal Enuresis"
"Cardiomyopathy, Hypertrophic, Familial", "Cardiomyopathy, Hypertrophic, Familial"
