"Mirtazapine", "Mirtazapine"
"Riluzole", "Riluzole"
"Thromboplastin", "Thromboplastin"
"Combretastatin", "Combretastatin"
"Aromatic Amino Acid Decarboxylase Inhibitors", "Aromatic Amino Acid Decarboxylase Inhibitors"
"Etomidate", "Etomidate"
"Lixisenatide", "Lixisenatide"
"Lumiracoxib", "Lumiracoxib"
"Diarylquinolines", "Diarylquinolines"
"Doxycycline", "Doxycycline"
"Gastrins", "Gastrins"
"Bunolol", "Bunolol"
"Ganirelix", "Ganirelix"
"Eliprodil", "Eliprodil"
"Methoxyflurane", "Methoxyflurane"
"Amlodipine", "Amlodipine"
"Triamcinolone", "Triamcinolone"
"Calcium polycarbophil", "Calcium polycarbophil"
"Mesoridazine", "Mesoridazine"
"Nicergoline", "Nicergoline"
"Bromopride", "Bromopride"
"Leflunomide", "Leflunomide"
"Ketanserin", "Ketanserin"
"Levofloxacin", "Levofloxacin"
"Azelastine", "Azelastine"
"Secnidazole", "Secnidazole"
"Alvocidib", "Alvocidib"
"Mesna", "Mesna"
"Edetic Acid", "Edetic Acid"
"Adalimumab", "Adalimumab"
"Nisin", "Nisin"
"Triamterene", "Triamterene"
"Etoposide phosphate", "Etoposide phosphate"
"Dopamine Agents", "Dopamine Agents"
"Antibodies, Blocking", "Antibodies, Blocking"
"Fluspirilene", "Fluspirilene"
"Irsogladine", "Irsogladine"
"Adrenocorticotropin zinc", "Adrenocorticotropin zinc"
"Antihypertensive Agents", "Antihypertensive Agents"
"Raltegravir Potassium", "Raltegravir Potassium"
"Pioglitazone", "Pioglitazone"
"Artesunate", "Artesunate"
"Talipexole", "Talipexole"
"Pitavastatin", "Pitavastatin"
"Rilpivirine", "Rilpivirine"
"Betrixaban", "Betrixaban"
"Streptomycin", "Streptomycin"
"Cinoxacin", "Cinoxacin"
"Bortezomib", "Bortezomib"
"Amprenavir", "Amprenavir"
"Sulfalene", "Sulfalene"
"Technetium Tc 99m bicisate", "Technetium Tc 99m bicisate"
"Isophane Insulin, Human", "Isophane Insulin, Human"
"Antimetabolites", "Antimetabolites"
"2,4-thiazolidinedione", "2,4-thiazolidinedione"
"Ferrous gluconate", "Ferrous gluconate"
"Nateglinide", "Nateglinide"
"Magnesium Sulfate", "Magnesium Sulfate"
"Melphalan", "Melphalan"
"Spironolactone", "Spironolactone"
"Bisacodyl", "Bisacodyl"
"Manidipine", "Manidipine"
"Pemoline", "Pemoline"
"Anaphylatoxins", "Anaphylatoxins"
"Triazolam", "Triazolam"
"Hexetidine", "Hexetidine"
"Metronidazole", "Metronidazole"
"Brimonidine Tartrate", "Brimonidine Tartrate"
"Efonidipine", "Efonidipine"
"Proxymetacaine", "Proxymetacaine"
"Thymalfasin", "Thymalfasin"
"Anti-Asthmatic Agents", "Anti-Asthmatic Agents"
"Ethynodiol Diacetate", "Ethynodiol Diacetate"
"Mitogens", "Mitogens"
"Medroxyprogesterone", "Medroxyprogesterone"
"Antineoplastic Agents", "Antineoplastic Agents"
"Dihydromevinolin", "Dihydromevinolin"
"Proflavine", "Proflavine"
"Estrogens, Esterified (USP)", "Estrogens, Esterified (USP)"
"Dobutamine", "Dobutamine"
"Phenylmethylpyrazolone", "Phenylmethylpyrazolone"
"Lipid Regulating Agents", "Lipid Regulating Agents"
"Rosmarinic acid", "Rosmarinic acid"
"Cefpodoxime", "Cefpodoxime"
"Femovan", "Femovan"
"Marinobufagenin", "Marinobufagenin"
"Zuclomiphene", "Zuclomiphene"
"Virginiamycin", "Virginiamycin"
"Adjuvants, Immunologic", "Adjuvants, Immunologic"
"Thioguanine", "Thioguanine"
"Fluphenazine depot", "Fluphenazine depot"
"Dihydroxyphenylalanine", "Dihydroxyphenylalanine"
"Serotonin Uptake Inhibitors", "Serotonin Uptake Inhibitors"
"Telmisartan", "Telmisartan"
"Sildenafil Citrate", "Sildenafil Citrate"
"Canrenone", "Canrenone"
"Plasma Kallikrein", "Plasma Kallikrein"
"Benzathine benzylpenicillin, procaine benzylpenicillin, drug combination", "Benzathine benzylpenicillin, procaine benzylpenicillin, drug combination"
"Heparin Cofactor II", "Heparin Cofactor II"
"Dihematoporphyrin Ether", "Dihematoporphyrin Ether"
"Butylated Hydroxytoluene", "Butylated Hydroxytoluene"
"Entonox", "Entonox"
"5- ((2- (6- Amino- 9H- purin- 9- yl) ethyl) amino) - 1- pentanol", "5- ((2- (6- Amino- 9H- purin- 9- yl) ethyl) amino) - 1- pentanol"
"Onapristone", "Onapristone"
"Interferon-gamma", "Interferon-gamma"
"Monensin", "Monensin"
"Azacitidine", "Azacitidine"
"Formoterol Fumarate", "Formoterol Fumarate"
"Neurotropin", "Neurotropin"
"Anti-Bacterial Agents", "Anti-Bacterial Agents"
"Nalbuphine", "Nalbuphine"
"Eszopiclone", "Eszopiclone"
"Psilocybin", "Psilocybin"
"Ketoprofen", "Ketoprofen"
"Desflurane", "Desflurane"
"Polymyxin B", "Polymyxin B"
"Technetium Tc 99m Sestamibi", "Technetium Tc 99m Sestamibi"
"Midodrine", "Midodrine"
"Amifostine", "Amifostine"
"Sulfisoxazole", "Sulfisoxazole"
"Anti-Retroviral Agents", "Anti-Retroviral Agents"
"Fluorides, Topical", "Fluorides, Topical"
"2-(4-(quinolin-2-yl-methoxy)phenyl)-2-cyclopentylacetic acid", "2-(4-(quinolin-2-yl-methoxy)phenyl)-2-cyclopentylacetic acid"
"Methylnaltrexone", "Methylnaltrexone"
"Clofarabine", "Clofarabine"
"Natalizumab", "Natalizumab"
"2-chloro-3'-deoxyadenosine", "2-chloro-3'-deoxyadenosine"
"Olaparib", "Olaparib"
"Chlorproguanil", "Chlorproguanil"
"Conivaptan", "Conivaptan"
"PK 11195", "PK 11195"
"Mitomycins", "Mitomycins"
"Diphenhydramine", "Diphenhydramine"
"Tanshinone", "Tanshinone"
"Isoproterenol", "Isoproterenol"
"Ebastine", "Ebastine"
"Methocarbamol", "Methocarbamol"
"Loxapine", "Loxapine"
"Reproterol", "Reproterol"
"Polidocanol", "Polidocanol"
"Alfuzosin", "Alfuzosin"
"Bimatoprost", "Bimatoprost"
"Enzyme Inhibitors", "Enzyme Inhibitors"
"Zinc protoporphyrin", "Zinc protoporphyrin"
"Anabolic Agents", "Anabolic Agents"
"Seocalcitol", "Seocalcitol"
"Anthranilic acid", "Anthranilic acid"
"Alginic acid", "Alginic acid"
"Naloxegol", "Naloxegol"
"GABA Modulators", "GABA Modulators"
"Certoparin", "Certoparin"
"Saruplase", "Saruplase"
"Nitisinone", "Nitisinone"
"Fluoroquinolones", "Fluoroquinolones"
"Magnesium citrate", "Magnesium citrate"
